
------ lr: 0.001000, batch_size: 32, img_size: 96, time: 11/02/22-18:35:41 ------
Epoch 01: Accuracy: 36.129 (29.680, 36.129), Loss: (0.339, 0.322), Time: 18:38:50
Epoch 02: Accuracy: 39.550 (40.970, 39.579), Loss: (0.299, 0.312), Time: 18:41:59
Epoch 03: Accuracy: 39.843 (46.950, 39.879), Loss: (0.277, 0.312), Time: 18:45:08
Epoch 04: Accuracy: 42.957 (51.635, 42.407), Loss: (0.259, 0.308), Time: 18:48:16
Epoch 05: Accuracy: 41.936 (55.560, 41.829), Loss: (0.243, 0.315), Time: 18:51:26
Epoch 06: Accuracy: 43.200 (59.640, 42.157), Loss: (0.227, 0.324), Time: 18:54:35
Epoch 07: Accuracy: 43.257 (63.620, 42.814), Loss: (0.211, 0.341), Time: 18:57:44
Epoch 08: Accuracy: 43.150 (67.575, 43.621), Loss: (0.194, 0.328), Time: 19:00:52
Epoch 09: Accuracy: 43.621 (72.060, 42.793), Loss: (0.178, 0.361), Time: 19:04:02
Epoch 10: Accuracy: 43.921 (76.225, 42.700), Loss: (0.161, 0.369), Time: 19:07:10
Epoch 11: Accuracy: 43.643 (80.190, 43.593), Loss: (0.144, 0.418), Time: 19:10:19
Epoch 12: Accuracy: 42.950 (83.670, 42.386), Loss: (0.128, 0.466), Time: 19:13:27
Epoch 13: Accuracy: 44.129 (86.930, 43.214), Loss: (0.115, 0.481), Time: 19:16:35
Epoch 14: Accuracy: 42.586 (89.255, 42.414), Loss: (0.102, 0.574), Time: 19:19:44
Epoch 15: Accuracy: 43.150 (91.285, 42.179), Loss: (0.092, 0.558), Time: 19:22:52
Epoch 16: Accuracy: 42.393 (92.715, 42.200), Loss: (0.084, 0.565), Time: 19:26:00
Epoch 17: Accuracy: 42.964 (94.205, 42.321), Loss: (0.075, 0.626), Time: 19:29:14
Epoch 18: Accuracy: 43.250 (94.910, 42.971), Loss: (0.068, 0.715), Time: 19:32:23
Epoch 19: Accuracy: 42.086 (95.635, 41.529), Loss: (0.065, 0.626), Time: 19:35:31
Epoch 20: Accuracy: 42.407 (96.465, 42.429), Loss: (0.057, 0.655), Time: 19:38:40
Epoch 21: Accuracy: 41.879 (96.875, 41.493), Loss: (0.055, 0.723), Time: 19:41:48
Epoch 22: Accuracy: 41.864 (97.285, 41.907), Loss: (0.050, 0.758), Time: 19:45:00
Epoch 23: Accuracy: 42.393 (97.535, 41.729), Loss: (0.048, 0.752), Time: 19:48:08
Epoch 24: Accuracy: 42.700 (97.835, 41.979), Loss: (0.045, 0.740), Time: 19:51:17
Epoch 25: Accuracy: 42.636 (98.230, 41.686), Loss: (0.042, 0.840), Time: 19:54:25
Epoch 26: Accuracy: 42.814 (98.475, 42.064), Loss: (0.039, 0.768), Time: 19:57:34
Epoch 27: Accuracy: 41.557 (98.445, 40.900), Loss: (0.039, 0.750), Time: 20:00:42
Epoch 28: Accuracy: 41.471 (98.615, 41.121), Loss: (0.036, 0.892), Time: 20:03:51
Epoch 29: Accuracy: 42.414 (98.845, 41.900), Loss: (0.035, 0.764), Time: 21:47:30
Epoch 30: Accuracy: 42.271 (98.895, 42.150), Loss: (0.032, 0.829), Time: 21:50:39
